Scopus-10-Analyze-Year

"Your query : (TITLE-ABS-KEY(""type 2 diabetes mellitus"" AND ( exercise OR ""physical activity"" ) AND ( HbA1c OR ""glycemic control"" )))"


Number of results : 10

"YEAR",
"2026","153"
"2025","326"
"2024","274"
"2023","218"
"2022","214"
"2021","205"
"2020","187"
"2019","150"
"2018","152"
"2017","115"
"2016","106"
"2015","112"
"2014","107"
"2013","103"
"2012","91"
"2011","75"
"2010","72"
"2009","58"
"2008","48"
"2007","50"
"2006","44"
"2005","21"
"2004","31"
"2003","24"
"2002","19"
"2001","11"
"2000","9"
"1999","8"
"1998","10"
"1997","1"
"1996","1"
"1994","2"
"1993","2"
"1992","1"
"1985","1"
