Scopus-3001-Analyze-Source

"Your query : (TITLE-ABS-KEY(""type 2 diabetes mellitus"" AND ( exercise OR ""physical activity"" ) AND ( HbA1c OR ""glycemic control"" )))"


Number of results : 3001

"SOURCE TITLE",
"Frontiers in Endocrinology","84"
"Diabetes Obesity and Metabolism","64"
"Diabetes Research and Clinical Practice","61"
"Diabetes Metabolic Syndrome and Obesity","49"
"Diabetes Therapy","48"
"Nutrients","41"
"Plos One","41"
"Postgraduate Medicine","27"
"BMJ Open","26"
"Diabetologia","26"
"International Journal of Environmental Research and Public Health","26"
"Diabetes and Metabolic Syndrome Clinical Research and Reviews","25"
"Trials","23"
"BMC Endocrine Disorders","21"
"Primary Care Diabetes","21"
"Diabetic Medicine","20"
"Acta Diabetologica","19"
"Diabetology and Metabolic Syndrome","19"
"Journal of Clinical Medicine","19"
"Patient Preference and Adherence","19"
"Journal of Diabetes Investigation","18"
"Journal of Diabetes Research","18"
"Medicine United States","18"
"Drugs","17"
"Journal of Diabetes and Metabolic Disorders","17"
"Current Diabetes Reviews","16"
"Journal of Medical Internet Research","16"
"BMJ Open Diabetes Research and Care","15"
"Cardiovascular Diabetology","15"
"Cochrane Database of Systematic Reviews","15"
"Current Medical Research and Opinion","15"
"Diabetes and Metabolism Journal","15"
"Metabolism Clinical and Experimental","15"
"Journal of Diabetes and Its Complications","14"
"Current Diabetes Reports","13"
"International Journal of Diabetes in Developing Countries","13"
"Journal of Diabetes","13"
"Nutrition Metabolism and Cardiovascular Diseases","13"
"Sports Medicine","13"
"Diabetology International","12"
"Healthcare Switzerland","12"
"Journal of Clinical Endocrinology and Metabolism","12"
"Clinical Therapeutics","11"
"Diabetes Care","11"
"Diabetes and Vascular Disease Research","11"
"Endocrine","11"
"European Journal of Preventive Cardiology","11"
"BMC Public Health","10"
"Canadian Journal of Diabetes","10"
"Diabetes Metabolism Research and Reviews","10"
"Diabetes Technology and Therapeutics","10"
"American Family Physician","9"
"Chinese General Practice","9"
"Endocrine Practice","9"
"Health Science Reports","9"
"Indian Journal of Endocrinology and Metabolism","9"
"Jmir Mhealth and Uhealth","9"
"Journal of Association of Physicians of India","9"
"Journal of Diabetes Science and Technology","9"
"Clinical Diabetology","8"
"Clinical Nutrition Espen","8"
"Contemporary Clinical Trials","8"
"Experimental and Clinical Endocrinology and Diabetes","8"
"Expert Opinion on Pharmacotherapy","8"
"International Journal of Clinical Practice","8"
"Journal of Physical Therapy Science","8"
"Nature Reviews Endocrinology","8"
"Obesity Medicine","8"
"American Journal of Therapeutics","7"
"Complementary Therapies in Medicine","7"
"Family Medicine and Primary Care Review","7"
"Insulin","7"
"International Journal of Molecular Sciences","7"
"Jmir Research Protocols","7"
"Journal of Clinical and Diagnostic Research","7"
"Journal of Endocrinological Investigation","7"
"Journal of Endocrinology Metabolism and Diabetes of South Africa","7"
"Journal of Research in Medical Sciences","7"
"Mayo Clinic Proceedings","7"
"Medicina Lithuania","7"
"Metabolites","7"
"Peerj","7"
"Romanian Journal of Diabetes Nutrition and Metabolic Diseases","7"
"Sage Open Medicine","7"
"Clinical Nutrition","6"
"Diabetes and Metabolism","6"
"Endocrine Metabolic and Immune Disorders Drug Targets","6"
"Frontiers in Public Health","6"
"International Journal of Nursing Sciences","6"
"Journal of Multidisciplinary Healthcare","6"
"Medical Journal of Malaysia","6"
"Pakistan Journal of Medical Sciences","6"
"Patient Education and Counseling","6"
"Physician and Sportsmedicine","6"
"Scientific Reports","6"
"Advances in Therapy","5"
"Atencion Primaria","5"
"BMC Health Services Research","5"
"British Journal of Nutrition","5"
"Chinese Journal of Diabetes Mellitus","5"
"Chinese Medical Journal","5"
"Circulation","5"
"Current Cardiology Reports","5"
"Current Issues in Molecular Biology","5"
"Endocrine Journal","5"
"Endocrinology Diabetes and Metabolism","5"
"Frontiers in Nutrition","5"
"International Journal for Vitamin and Nutrition Research","5"
"Journal of Clinical Nursing","5"
"Journal of Pediatric Endocrinology and Metabolism","5"
"Journal of the American Osteopathic Association","5"
"Maturitas","5"
"Medicine United Kingdom","5"
"Metabolic Syndrome and Related Disorders","5"
"Open Access Macedonian Journal of Medical Sciences","5"
"Pan African Medical Journal","5"
"Physiological Reports","5"
"Retos","5"
"Turkish Journal of Endocrinology and Metabolism","5"
"Advances in Experimental Medicine and Biology","4"
"Annals of Pediatric Endocrinology and Metabolism","4"
"Archives of Internal Medicine","4"
"Archives of Physical Medicine and Rehabilitation","4"
"Bahrain Medical Bulletin","4"
"Biomed Research International","4"
"Biomedicines","4"
"British Journal of Diabetes and Vascular Disease","4"
"Clinical Medicine Insights Endocrinology and Diabetes","4"
"Current Pharmaceutical Design","4"
"Current Therapeutic Research Clinical and Experimental","4"
"Deutsche Medizinische Wochenschrift","4"
"Discover Public Health","4"
"Drug Safety","4"
"Drugs and Therapy Perspectives","4"
"Endocrinologia Y Nutricion","4"
"European Journal of Nutrition","4"
"European Review for Medical and Pharmacological Sciences","4"
"Evidence Based Complementary and Alternative Medicine","4"
"Frontiers in Cardiovascular Medicine","4"
"Frontiers in Immunology","4"
"Heliyon","4"
"Hormones","4"
"Indian Journal of Physiology and Pharmacology","4"
"Indian Journal of Public Health Research and Development","4"
"International Journal of Endocrinology","4"
"Journal of Diabetology","4"
"Journal of Sports Medicine and Physical Fitness","4"
"Journal of Young Pharmacists","4"
"Journal of the Asean Federation of Endocrine Societies","4"
"Journal of the Indian Medical Association","4"
"Journal of the Japan Diabetes Society","4"
"Jurnal Ners","4"
"Malaysian Family Physician","4"
"Medicine and Science in Sports and Exercise","4"
"Nutrition and Health","4"
"Pharmaceuticals","4"
"Pharmacy Practice","4"
"Research Journal of Pharmacy and Technology","4"
"Review of Diabetic Studies","4"
"SA Pharmaceutical Journal","4"
